Build Date	Time	Job Pixels	Fed	Error	Max	Min	Vol	Area	Shell	Core	Thickness	Name	Version	Powder	Color/Mono	ToolComp	Est Time	Est Pixels	Head0	Comments

2/16/2021	580	1.46e+010	0.00	0	51	25	61.50	200.12	1.17	0.58	0.0040	210205_A6	1.03.8	VisiJet PXL - Pastel	Mono	Y	525	0.0	3.23249911e+010	
2/17/2021	642	1.83e+010	0.00	0	53	25	81.37	253.47	1.17	0.58	0.0040	210205_B1	1.03.8	VisiJet PXL - Pastel	Mono	Y	602	0.0	5.06639719e+010	
2/19/2021	704	2.80e+010	0.00	0	53	25	151.04	368.81	1.17	0.58	0.0040	210217_A2_1mmoff2	1.03.8	VisiJet PXL - Pastel	Mono	Y	650	0.0	3.11129657e+010	
2/19/2021	545	1.58e+010	0.00	0	51	25	69.51	223.49	1.17	0.58	0.0040	210205_B2	1.03.8	VisiJet PXL - Pastel	Mono	Y	528	0.0	4.69250005e+010	
2/21/2021	457	1.07e+010	0.00	0	53	25	41.20	166.00	1.17	0.58	0.0040	210205_B3	1.03.8	VisiJet PXL - Pastel	Mono	Y	450	0.0	1.38452753e+010	
2/23/2021	371	1.08e+010	0.00	0	25	25	31.53	132.42	1.17	0.58	0.0040	210205_B6	1.03.8	VisiJet PXL - Pastel	Mono	Y	357	0.0	1.39547034e+010	
2/23/2021	120	8.41e+009	0.00	0	25	25	10.41	107.13	1.17	0.58	0.0040	0001 01	1.03.8	VisiJet PXL - Pastel	Mono	Y	120	0.0	2.23115100e+010	
2/24/2021	454	1.07e+010	0.00	0	53	25	41.20	166.00	1.17	0.58	0.0040	210205_B3	1.03.8	VisiJet PXL - Pastel	Mono	Y	450	0.0	3.60710422e+010	
3/4/2021	460	9.03e+009	0.00	0	53	25	22.85	106.49	1.17	0.58	0.0040	210302_RMA_entry_wall	1.03.8	VisiJet PXL - Pastel	Mono	Y	456	0.0	4.53941644e+010	
